model,target,fold,auc_roc,auc_pr,f1,precision,recall,accuracy,brier,ece
LogisticRegression,y_bad,1.0,0.6239628262706212,0.5774500372856934,0.5245901639344263,0.5730027548209367,0.48372093023255813,0.6044071353620147,0.23765915282700686,0.05885891712663682
LogisticRegression,y_bad,2.0,0.6541343669250645,0.6217268929222558,0.5625,0.6081081081081081,0.5232558139534884,0.6323529411764706,0.2290657519948773,0.04464861192169763
LogisticRegression,y_bad,3.0,0.6426312037779559,0.651614974220668,0.5276073619631901,0.5584415584415584,0.5,0.5955882352941176,0.2279742239778191,0.08301410229390949
LogisticRegression,y_bad,4.0,0.6052347857079212,0.570880944177629,0.5258215962441315,0.5308056872037915,0.5209302325581395,0.5756302521008403,0.24207998889116825,0.0842279317163666
LogisticRegression,y_bad,5.0,0.6549942083221956,0.6332874370834766,0.5560975609756098,0.5846153846153846,0.5302325581395348,0.6176470588235294,0.22802969191928177,0.0589039280732337
XGBoost,y_bad,1.0,0.6088043043265596,0.6125083143169123,0.597187758478081,0.4634146341463415,0.8395348837209302,0.48898216159496327,0.32157981395721436,0.2777153591450464
XGBoost,y_bad,2.0,0.6052035997505123,0.6136303749289939,0.6053067993366501,0.47036082474226804,0.8488372093023255,0.5,0.31712228059768677,0.26067085788749594
XGBoost,y_bad,3.0,0.6245522587543437,0.6415720295782714,0.6163934426229508,0.4759493670886076,0.8744186046511628,0.5084033613445378,0.3128678500652313,0.2787612010959629
XGBoost,y_bad,4.0,0.6165374677002584,0.6246633569407833,0.6095551894563427,0.4719387755102041,0.8604651162790697,0.5021008403361344,0.3188440799713135,0.27138336261092616
XGBoost,y_bad,5.0,0.6254031898779292,0.6397953427759537,0.6076360682372055,0.46691635455680397,0.8697674418604651,0.49264705882352944,0.31598129868507385,0.278659006079831
RandomForest,y_bad,1.0,0.6261238827871404,0.6273267143495385,0.4659090909090909,0.5985401459854015,0.3813953488372093,0.6054564533053515,0.23071339213007444,0.05461237613454862
RandomForest,y_bad,2.0,0.635084202085004,0.6290966209755683,0.4829467939972715,0.5841584158415841,0.4116279069767442,0.601890756302521,0.22830410453594133,0.0525890180085908
RandomForest,y_bad,3.0,0.6664483649648043,0.6779830321591778,0.5278174037089871,0.6826568265682657,0.43023255813953487,0.6523109243697479,0.22319132266012195,0.07104988986477327
RandomForest,y_bad,4.0,0.5984006058986011,0.6108647699216218,0.4885290148448043,0.5819935691318328,0.42093023255813955,0.601890756302521,0.2334307047646739,0.06550530420577778
RandomForest,y_bad,5.0,0.6506058986010871,0.6561266836630028,0.49575070821529743,0.6340579710144928,0.4069767441860465,0.6260504201680672,0.2253085824037991,0.06128685819094977
LightGBM,y_bad,1.0,0.6092356263061942,0.6211481835806058,0.4866920152091255,0.5348189415041783,0.44651162790697674,0.5750262329485835,0.2461930502972346,0.10852389078747074
LightGBM,y_bad,2.0,0.621602958210817,0.6296721073558235,0.5157232704402516,0.5616438356164384,0.47674418604651164,0.5955882352941176,0.2432354936837061,0.10582926786389157
LightGBM,y_bad,3.0,0.644301880067718,0.6545685872247543,0.5294117647058824,0.5880681818181818,0.4813953488372093,0.6134453781512605,0.23352541946398572,0.09229282482742086
LightGBM,y_bad,4.0,0.5938786420743116,0.6191067984800263,0.5,0.5284974093264249,0.4744186046511628,0.5714285714285714,0.25208376291743617,0.1378883783849567
LightGBM,y_bad,5.0,0.6031185957408893,0.6184800022729771,0.5080147965474723,0.5406824146981627,0.4790697674418605,0.5808823529411765,0.24519189518935108,0.11497053912957497
LSTM,y_bad,1.0,0.5261060963137534,0.47919340667489313,0.501628664495114,0.47046843177189407,0.5372093023255814,0.5183630640083945,0.2495470643043518,0.048457510605188645
LSTM,y_bad,2.0,0.4866345896819032,0.44285799301405476,0.501002004008016,0.44014084507042256,0.5813953488372093,0.47689075630252103,0.2505049407482147,0.05009695186334495
LSTM,y_bad,3.0,0.49434420386705874,0.4555181844532791,0.3009118541033435,0.4342105263157895,0.2302325581395349,0.5168067226890757,0.2497180700302124,0.04497030552695777
LSTM,y_bad,4.0,0.5354695714158424,0.48371048397760386,0.5338809034907598,0.47794117647058826,0.6046511627906976,0.523109243697479,0.24979081749916077,0.05101249448391569
LSTM,y_bad,5.0,0.49291410496302235,0.45963358150718836,0.46569178852643417,0.45098039215686275,0.4813953488372093,0.5010504201680672,0.2501109838485718,0.04736098590768684
HybridLSTM,y_bad,1.0,0.6069011516741518,0.5775003999684964,0.5965583173996176,0.5064935064935064,0.7255813953488373,0.5571878279118573,0.25328806042671204,0.12221740462972637
HybridLSTM,y_bad,2.0,0.5823220172859307,0.5692006608274052,0.5238649592549476,0.5244755244755245,0.5232558139534884,0.5703781512605042,0.24853041768074036,0.08731869705209211
HybridLSTM,y_bad,3.0,0.624088924529983,0.6349433232682586,0.5365296803652968,0.5269058295964125,0.5465116279069767,0.5735294117647058,0.23594729602336884,0.09607904395010292
HybridLSTM,y_bad,4.0,0.5973046422525172,0.5782820889128153,0.5258323765786452,0.5192743764172335,0.5325581395348837,0.5661764705882353,0.24139504134655,0.08327178200002477
HybridLSTM,y_bad,5.0,0.5931925510113161,0.5840797108153277,0.5422612513721186,0.5135135135135135,0.5744186046511628,0.5619747899159664,0.24536912143230438,0.08361497995670604
